"","motivation","freq","gender"
"ribonuclease","ribonuclease",3,"male"
"activity","activity",3,"male"
"course1","course",3,"male"
"methodology","methodology",3,"male"
"selectivity","selectivity",3,"male"
"structurespecific","structurespecific",3,"male"
"photosynthetic","photosynthetic",3,"male"
"atmospheric","atmospheric",3,"male"
"decomposition","decomposition",3,"male"
"ozone","ozone",3,"male"
"fullerenes","fullerenes",3,"male"
"physiology","physiology",3,"male"
"transplantation","transplantation",3,"male"
"consumption","consumption",3,"male"
"anaemia","anaemia",3,"male"
"cases","cases",3,"male"
"liver","liver",3,"male"
"transmission","transmission",3,"male"
"highly","highly",3,"male"
"curative","curative",3,"male"
"penicillin","penicillin",3,"male"
"adrenal","adrenal",3,"male"
"cortex","cortex",3,"male"
"grow","grow",3,"male"
"poliomyelitis","poliomyelitis",3,"male"
"tissue","tissue",3,"male"
"catheterization","catheterization",3,"male"
"circulatory","circulatory",3,"male"
"pathological","pathological",3,"male"
"tolerance","tolerance",3,"male"
"within","within",3,"male"
"excitation","excitation",3,"male"
"involved","involved",3,"male"
"ionic","ionic",3,"male"
"membrane","membrane",3,"male"
"peripheral","peripheral",3,"male"
"portions","portions",3,"male"
"physiological","physiological",3,"male"
"primary","primary",3,"male"
"code","code",3,"male"
"replication","replication",3,"male"
"humoral","humoral",3,"male"
"inactivation","inactivation",3,"male"
"release","release",3,"male"
"storage","storage",3,"male"
"terminals","terminals",3,"male"
"transmitters","transmitters",3,"male"
"elicitation","elicitation",3,"male"
"tumour","tumour",3,"male"
"genetics","genetics",3,"male"
"restriction","restriction",3,"male"
"determined","determined",3,"male"
"genetically","genetically",3,"male"
"regulate","regulate",3,"male"
"prostaglandins","prostaglandins",3,"male"
"monoclonal","monoclonal",3,"male"
"growth1","growth",3,"male"
"cardiovascular","cardiovascular",3,"male"
"nitric","nitric",3,"male"
"oxide","oxide",3,"male"
"signalling","signalling",3,"male"
"conferences","conferences",3,"male"
"untiring","untiring",3,"male"
"longstanding","longstanding",3,"male"
"end1","end",3,"male"
"france","france",3,"male"
"society","society",3,"male"
"prominent","prominent",3,"male"
"internationalism","internationalism",3,"male"
"organized","organized",3,"male"
"leading","leading",3,"male"
"locarno","locarno",3,"male"
"mind","mind",3,"male"
"reality1","reality",3,"male"
"presented","presented",3,"male"
"expression","expression",3,"male"
"love","love",3,"male"
"brotherhood","brotherhood",3,"male"
"one","one",3,"male"
"dignity","dignity",3,"male"
"fire1","fire",3,"male"
"africa","africa",3,"male"
"resolve","resolve",3,"male"
"cultural","cultural",3,"male"
"gives1","gives",3,"male"
"lofty1","lofty",3,"male"
"rare","rare",3,"male"
"distinguished","distinguished",3,"male"
"freshness","freshness",3,"male"
"fresh","fresh",3,"male"
"significant","significant",3,"male"
"true","true",3,"male"
"creative","creative",3,"male"
"strength1","strength",3,"male"
"vision","vision",3,"male"
"varied","varied",3,"male"
"skill","skill",3,"male"
"ideals","ideals",3,"male"
"presentday","presentday",3,"male"
"ithe","ithe",3,"male"
"classical","classical",3,"male"
"combined","combined",3,"male"
"insight","insight",3,"male"
"psychological","psychological",3,"male"
"mastery","mastery",3,"male"
"renewed","renewed",3,"male"
"experience1","experience",3,"male"
"continents","continents",3,"male"
"deepened","deepened",3,"male"
"applied","applied",3,"male"
"fluctuations","fluctuations",3,"male"
"optimum","optimum",3,"male"
"resources","resources",3,"male"
"decisionmaking","decisionmaking",3,"male"
"games","games",3,"male"
"noncooperative","noncooperative",3,"male"
"circuit","circuit",3,"male"
"conductive","conductive",3,"male"
"key","key",3,"male"
"alkali","alkali",3,"male"
"boseeinstein","boseeinstein",3,"male"
"condensates","condensates",3,"male"
"dilute","dilute",3,"male"
"catalysed","catalysed",3,"male"
"chirally","chirally",3,"male"
"death","death",3,"male"
"programmed","programmed",3,"male"
"superfluids","superfluids",3,"male"
"receptors1","receptors",3,"male"
"asymptotic","asymptotic",3,"male"
"strong","strong",3,"male"
"degradation","degradation",3,"male"
"ubiquitinmediated","ubiquitinmediated",3,"male"
"metathesis","metathesis",3,"male"
"introducing","introducing",3,"male"
"mice","mice",3,"male"
"modifications","modifications",3,"male"
"specific","specific",3,"male"
"stem","stem",3,"male"
"broken","broken",3,"male"
"subatomic","subatomic",3,"male"
"three","three",3,"male"
"fluorescent","fluorescent",3,"male"
"gfp","gfp",3,"male"
"couplings","couplings",3,"male"
"cross","cross",3,"male"
"palladiumcatalyzed","palladiumcatalyzed",3,"male"
"frictions","frictions",3,"male"
"accelerating","accelerating",3,"male"
"distant","distant",3,"male"
"expansion","expansion",3,"male"
"supernovae","supernovae",3,"male"
"machinery","machinery",3,"male"
"traffic","traffic",3,"male"
"vesicle","vesicle",3,"male"
"multiscale","multiscale",3,"male"
"asset","asset",3,"male"
"blue","blue",3,"male"
"bright","bright",3,"male"
"diodes","diodes",3,"male"
"enabled","enabled",3,"male"
"energysaving","energysaving",3,"male"
"lightemitting","lightemitting",3,"male"
"white","white",3,"male"
"fluorescence","fluorescence",3,"male"
"superresolved","superresolved",3,"male"
"dna","dna",3,"male"
"repair","repair",3,"male"
"poverty1","poverty",3,"male"
"phases","phases",3,"male"
"machines","machines",3,"male"
"circadian","circadian",3,"male"
"controlling","controlling",3,"male"
"rhythm","rhythm",3,"male"
"detector","detector",3,"male"
"gravitational","gravitational",3,"male"
"ligo","ligo",3,"male"
"waves","waves",3,"male"
"biomolecules","biomolecules",3,"male"
"cryoelectron","cryoelectron",3,"male"
"adapt","adapt",3,"male"
"availability","availability",3,"male"
"batteries","batteries",3,"male"
"lithiumion","lithiumion",3,"male"
"hepatitis","hepatitis",3,"male"
"remarkable1","remarkable",2,"male"
"magnetism","magnetism",2,"male"
"spontaneous","spontaneous",2,"male"
"discovered1","discovered",2,"male"
"electricity","electricity",2,"male"
"merits","merits",2,"male"
"carried","carried",2,"male"
"phenomenon","phenomenon",2,"male"
"telegraphy","telegraphy",2,"male"
"wireless","wireless",2,"male"
"state","state",2,"male"
"heat","heat",2,"male"
"illuminating","illuminating",2,"male"
"low","low",2,"male"
"temperatures","temperatures",2,"male"
"characteristic","characteristic",2,"male"
"electric","electric",2,"male"
"photoelectric","photoelectric",2,"male"
"atom","atom",2,"male"
"impact","impact",2,"male"
"making","making",2,"male"
"paths","paths",2,"male"
"mechanics","mechanics",2,"male"
"irradiation","irradiation",2,"male"
"regard","regard",2,"male"
"moment","moment",2,"male"
"also","also",2,"male"
"apparatus","apparatus",2,"male"
"mesons","mesons",2,"male"
"accelerated","accelerated",2,"male"
"artificially","artificially",2,"male"
"transmutation","transmutation",2,"male"
"contrast","contrast",2,"male"
"parity","parity",2,"male"
"antiproton","antiproton",2,"male"
"bubble","bubble",2,"male"
"name1","name",2,"male"
"condensed","condensed",2,"male"
"stars","stars",2,"male"
"possible","possible",2,"male"
"using","using",2,"male"
"applications","applications",2,"male"
"fruitful","fruitful",2,"male"
"aperture","aperture",2,"male"
"hewish","hewish",2,"male"
"pulsars","pulsars",2,"male"
"radio","radio",2,"male"
"ryle","ryle",2,"male"
"kind","kind",2,"male"
"area","area",2,"male"
"decay","decay",2,"male"
"kmesons","kmesons",2,"male"
"violations","violations",2,"male"
"critical","critical",2,"male"
"communicators","communicators",2,"male"
"project","project",2,"male"
"scanning","scanning",2,"male"
"break","break",2,"male"
"ceramic","ceramic",2,"male"
"materials","materials",2,"male"
"gravitation","gravitation",2,"male"
"possibilities","possibilities",2,"male"
"pulsar","pulsar",2,"male"
"type","type",2,"male"
"electroweak","electroweak",2,"male"
"elucidating","elucidating",2,"male"
"industry","industry",2,"male"
"catalysis","catalysis",2,"male"
"advanced","advanced",2,"male"
"progress","progress",2,"male"
"recent","recent",2,"male"
"years","years",2,"male"
"presence","presence",2,"male"
"whereby","whereby",2,"male"
"chlorophyll","chlorophyll",2,"male"
"plant","plant",2,"male"
"colloid","colloid",2,"male"
"fermentative","fermentative",2,"male"
"haemin","haemin",2,"male"
"carbohydrates","carbohydrates",2,"male"
"carotenoids","carotenoids",2,"male"
"preparation","preparation",2,"male"
"pure","pure",2,"male"
"serum","serum",2,"male"
"diene","diene",2,"male"
"transuranium","transuranium",2,"male"
"chromatography","chromatography",2,"male"
"partition","partition",2,"male"
"nucleotides","nucleotides",2,"male"
"base","base",2,"male"
"sequences","sequences",2,"male"
"age","age",2,"male"
"carbon","carbon",2,"male"
"globular","globular",2,"male"
"technology","technology",2,"male"
"free","free",2,"male"
"organometallic","organometallic",2,"male"
"performed","performed",2,"male"
"sandwich","sandwich",2,"male"
"stereochemistry","stereochemistry",2,"male"
"boron","boron",2,"male"
"phosphoruscontaining","phosphoruscontaining",2,"male"
"reagents","reagents",2,"male"
"complexes","complexes",2,"male"
"direct","direct",2,"male"
"establishment","establishment",2,"male"
"adenosine","adenosine",2,"male"
"atp","atp",2,"male"
"enzymatic","enzymatic",2,"male"
"triphosphate","triphosphate",2,"male"
"underlying","underlying",2,"male"
"domain","domain",2,"male"
"medical","medical",2,"male"
"weapon1","weapon",2,"male"
"malaria1","malaria",2,"male"
"aspects","aspects",2,"male"
"transformed","transformed",2,"male"
"tuberculosis","tuberculosis",2,"male"
"causing","causing",2,"male"
"pathology","pathology",2,"male"
"blood","blood",2,"male"
"organs","organs",2,"male"
"vascular","vascular",2,"male"
"muscle","muscle",2,"male"
"relationship","relationship",2,"male"
"therapeutic","therapeutic",2,"male"
"mode","mode",2,"male"
"neurons","neurons",2,"male"
"impulses","impulses",2,"male"
"reference","reference",2,"male"
"differentiated","differentiated",2,"male"
"fibres","fibres",2,"male"
"several","several",2,"male"
"activities","activities",2,"male"
"certain","certain",2,"male"
"effective","effective",2,"male"
"oxidation","oxidation",2,"male"
"act","act",2,"male"
"definite","definite",2,"male"
"events","events",2,"male"
"deoxyribonucleic","deoxyribonucleic",2,"male"
"ribonucleic","ribonucleic",2,"male"
"acquired","acquired",2,"male"
"fatty","fatty",2,"male"
"dissemination","dissemination",2,"male"
"peptide1","peptide",2,"male"
"assisted","assisted",2,"male"
"computer","computer",2,"male"
"tomography","tomography",2,"male"
"processing","processing",2,"male"
"diversity","diversity",2,"male"
"drug1","drug",2,"male"
"cellular","cellular",2,"male"
"oncogenes","oncogenes",2,"male"
"retroviral","retroviral",2,"male"
"phosphorylation","phosphorylation",2,"male"
"regulatory","regulatory",2,"male"
"reversible","reversible",2,"male"
"split","split",2,"male"
"gproteins","gproteins",2,"male"
"defence","defence",2,"male"
"mediated","mediated",2,"male"
"help1","help",2,"male"
"diplomacy","diplomacy",2,"male"
"union","union",2,"male"
"devoted","devoted",2,"male"
"private","private",2,"male"
"hague","hague",2,"male"
"outcome","outcome",2,"male"
"authors","authors",2,"male"
"leaders","leaders",2,"male"
"orators","orators",2,"male"
"politicians","politicians",2,"male"
"movement1","movement",2,"male"
"position","position",2,"male"
"droit","droit",2,"male"
"better","better",2,"male"
"north","north",2,"male"
"justice1","justice",2,"male"
"refugees","refugees",2,"male"
"plan","plan",2,"male"
"emergence","emergence",2,"male"
"favours","favours",2,"male"
"germany","germany",2,"male"
"opinion","opinion",2,"male"
"pact","pact",2,"male"
"helping","helping",2,"male"
"nation1","nation",2,"male"
"whole1","whole",2,"male"
"exposed","exposed",2,"male"
"tireless","tireless",2,"male"
"boundaries1","boundaries",2,"male"
"military","military",2,"male"
"men","men",2,"male"
"expressed","expressed",2,"male"
"civil","civil",2,"male"
"ensure","ensure",2,"male"
"given","given",2,"male"
"cease","cease",2,"male"
"vietnam","vietnam",2,"male"
"egypt","egypt",2,"male"
"israel","israel",2,"male"
"latin1","latin",2,"male"
"democratic","democratic",2,"male"
"laying","laying",2,"male"
"regime","regime",2,"male"
"termination","termination",2,"male"
"just","just",2,"male"
"timor","timor",2,"male"
"towards","towards",2,"male"
"ireland1","ireland",2,"male"
"northern1","northern",2,"male"
"combination","combination",2,"male"
"qualities","qualities",2,"male"
"monumental","monumental",2,"male"
"always","always",2,"male"
"purity","purity",2,"male"
"native1","native",2,"male"
"originality","originality",2,"male"
"reflects","reflects",2,"male"
"manner","manner",2,"male"
"numerous","numerous",2,"male"
"original","original",2,"male"
"writer","writer",2,"male"
"characterize1","characterize",2,"male"
"author","author",2,"male"
"narration","narration",2,"male"
"range","range",2,"male"
"artistry","artistry",2,"male"
"consummate","consummate",2,"male"
"demonstrated","demonstrated",2,"male"
"stories","stories",2,"male"
"appreciation1","appreciation",2,"male"
"wealth","wealth",2,"male"
"profoundly","profoundly",2,"male"
"sensitive","sensitive",2,"male"
"sympathy1","sympathy",2,"male"
"characterized1","characterized",2,"male"
"beauty1","beauty",2,"male"
"humanity1","humanity",2,"male"
"marked","marked",2,"male"
"description","description",2,"male"
"humour","humour",2,"male"
"prose1","prose",2,"male"
"bold","bold",2,"male"
"depicted","depicted",2,"male"
"well","well",2,"male"
"intellectual","intellectual",2,"male"
"artistically","artistically",2,"male"
"keen","keen",2,"male"
"american1","american",2,"male"
"intensity","intensity",2,"male"
"values","values",2,"male"
"exerted","exerted",2,"male"
"vivid1","vivid",2,"male"
"illuminates","illuminates",2,"male"
"times","times",2,"male"
"expresses","expresses",2,"male"
"destinies","destinies",2,"male"
"culture","culture",2,"male"
"quest","quest",2,"male"
"integrity","integrity",2,"male"
"peoples1","peoples",2,"male"
"ethical","ethical",2,"male"
"brings","brings",2,"male"
"broad","broad",2,"male"
"contributed","contributed",2,"male"
"perspective","perspective",2,"male"
"renewal","renewal",2,"male"
"ages1","ages",2,"male"
"cosmos","cosmos",2,"male"
"outlook","outlook",2,"male"
"impassioned","impassioned",2,"male"
"universal1","universal",2,"male"
"clearsightedness","clearsightedness",2,"male"
"creativeness","creativeness",2,"male"
"sensuous","sensuous",2,"male"
"myth","myth",2,"male"
"today","today",2,"male"
"now","now",2,"male"
"compassion","compassion",2,"male"
"sustained","sustained",2,"male"
"everyday","everyday",2,"male"
"black","black",2,"male"
"process","process",2,"male"
"interdependence","interdependence",2,"male"
"money","money",2,"male"
"allocation","allocation",2,"male"
"monetary","monetary",2,"male"
"capital","capital",2,"male"
"movements","movements",2,"male"
"pathbreaking","pathbreaking",2,"male"
"functioning","functioning",2,"male"
"clarification","clarification",2,"male"
"applying","applying",2,"male"
"explain","explain",2,"male"
"quantitative","quantitative",2,"male"
"incentives","incentives",2,"male"
"derivatives","derivatives",2,"male"
"determine","determine",2,"male"
"democracy1","democracy",2,"male"
"korea","korea",2,"male"
"heterostructures","heterostructures",2,"male"
"highspeed","highspeed",2,"male"
"optoelectronics","optoelectronics",2,"male"
"integrated","integrated",2,"male"
"ingenuity","ingenuity",2,"male"
"insights","insights",2,"male"
"linguistic1","linguistic",2,"male"
"hydrogenation","hydrogenation",2,"male"
"desorption","desorption",2,"male"
"ionisation","ionisation",2,"male"
"soft","soft",2,"male"
"spectrometric","spectrometric",2,"male"
"decades","decades",2,"male"
"series","series",2,"male"
"behind","behind",2,"male"
"business","business",2,"male"
"consistency","consistency",2,"male"
"cycles","cycles",2,"male"
"driving","driving",2,"male"
"macroeconomics","macroeconomics",2,"male"
"bacterium","bacterium",2,"male"
"gastritis","gastritis",2,"male"
"helicobacter","helicobacter",2,"male"
"peptic","peptic",2,"male"
"pylori","pylori",2,"male"
"ulcer","ulcer",2,"male"
"comb","comb",2,"male"
"frequency","frequency",2,"male"
"laserbased","laserbased",2,"male"
"purposes","purposes",2,"male"
"enhanced","enhanced",2,"male"
"gametheory","gametheory",2,"male"
"doublestranded","doublestranded",2,"male"
"silencing","silencing",2,"male"
"anisotropy","anisotropy",2,"male"
"blackbody","blackbody",2,"male"
"giant","giant",2,"male"
"magnetoresistance","magnetoresistance",2,"male"
"climate","climate",2,"male"
"families","families",2,"male"
"least","least",2,"male"
"predicts","predicts",2,"male"
"quarks","quarks",2,"male"
"ccd","ccd",2,"male"
"sensor","sensor",2,"male"
"ribosome1","ribosome",2,"male"
"graphene","graphene",2,"male"
"twodimensional","twodimensional",2,"male"
"images","images",2,"male"
"activation","activation",2,"male"
"innate","innate",2,"male"
"macroeconomy","macroeconomy",2,"male"
"mature","mature",2,"male"
"pluripotent","pluripotent",2,"male"
"reprogrammed","reprogrammed",2,"male"
"enable","enable",2,"male"
"manipulation","manipulation",2,"male"
"measuring","measuring",2,"male"
"gproteincoupled","gproteincoupled",2,"male"
"allocations","allocations",2,"male"
"practice","practice",2,"male"
"stable","stable",2,"male"
"atlas","atlas",2,"male"
"cerns","cerns",2,"male"
"cms","cms",2,"male"
"collider","collider",2,"male"
"confirmed","confirmed",2,"male"
"contributes","contributes",2,"male"
"hadron","hadron",2,"male"
"predicted","predicted",2,"male"
"constitute1","constitute",2,"male"
"positioning1","positioning",2,"male"
"uncovered","uncovered",2,"male"
"children1","children",2,"male"
"caused","caused",2,"male"
"infections","infections",2,"male"
"parasites","parasites",2,"male"
"roundworm","roundworm",2,"male"
"oscillations","oscillations",2,"male"
"shows","shows",2,"male"
"contract","contract",2,"male"
"negative","negative",2,"male"
"display","display",2,"male"
"peptides","peptides",2,"male"
"phage","phage",2,"male"
"integrating","integrating",2,"male"
"longrun","longrun",2,"male"
"exoplanet","exoplanet",2,"male"
"orbiting","orbiting",2,"male"
"solartype","solartype",2,"male"
"star","star",2,"male"
"alleviating1","alleviating",2,"male"
"approach1","approach",2,"male"
"global1","global",2,"male"
"formats","formats",2,"male"
"improvements","improvements",2,"male"
"subsequently","subsequently",1,"male"
"radioactivity","radioactivity",1,"male"
"becquerel1","becquerel",1,"male"
"henri1","henri",1,"male"
"joint1","joint",1,"male"
"professor1","professor",1,"male"
"argon","argon",1,"male"
"densities","densities",1,"male"
"cathode","cathode",1,"male"
"conduction","conduction",1,"male"
"aid","aid",1,"male"
"instruments","instruments",1,"male"
"metrological","metrological",1,"male"
"spectroscopic","spectroscopic",1,"male"
"colours","colours",1,"male"
"photographically","photographically",1,"male"
"reproducing","reproducing",1,"male"
"equation","equation",1,"male"
"liquids","liquids",1,"male"
"accumulators","accumulators",1,"male"
"automatic","automatic",1,"male"
"buoys","buoys",1,"male"
"conjunction","conjunction",1,"male"
"gas","gas",1,"male"
"lighthouses","lighthouses",1,"male"
"roumlntgen","roumlntgen",1,"male"
"quanta","quanta",1,"male"
"canal","canal",1,"male"
"doppler","doppler",1,"male"
"lines","lines",1,"male"
"spectral","spectral",1,"male"
"splitting","splitting",1,"male"
"alloys","alloys",1,"male"
"anomalies","anomalies",1,"male"
"nickel","nickel",1,"male"
"steel","steel",1,"male"
"emanating","emanating",1,"male"
"charge","charge",1,"male"
"discontinuous","discontinuous",1,"male"
"sedimentation","sedimentation",1,"male"
"electrically","electrically",1,"male"
"vapour","vapour",1,"male"
"visible","visible",1,"male"
"thermionic","thermionic",1,"male"
"wave","wave",1,"male"
"allotropic","allotropic",1,"male"
"positron","positron",1,"male"
"brought","brought",1,"male"
"demonstrations","demonstrations",1,"male"
"produced","produced",1,"male"
"slow","slow",1,"male"
"artificial","artificial",1,"male"
"cyclotron","cyclotron",1,"male"
"obtained","obtained",1,"male"
"results","results",1,"male"
"proton","proton",1,"male"
"ray","ray",1,"male"
"recording","recording",1,"male"
"exclusion","exclusion",1,"male"
"pauli","pauli",1,"male"
"pressures","pressures",1,"male"
"produce","produce",1,"male"
"appleton","appleton",1,"male"
"atmosphere","atmosphere",1,"male"
"layer","layer",1,"male"
"upper","upper",1,"male"
"cloud","cloud",1,"male"
"wilson","wilson",1,"male"
"photographic","photographic",1,"male"
"statistical","statistical",1,"male"
"wavefunction","wavefunction",1,"male"
"coincidence","coincidence",1,"male"
"fine","fine",1,"male"
"spectrum","spectrum",1,"male"
"achieved","achieved",1,"male"
"nucleons","nucleons",1,"male"
"absorption","absorption",1,"male"
"bears","bears",1,"male"
"gamma","gamma",1,"male"
"shell1","shell",1,"male"
"hertzian","hertzian",1,"male"
"resonances","resonances",1,"male"
"data","data",1,"male"
"classification","classification",1,"male"
"magnetohydrodynamics","magnetohydrodynamics",1,"male"
"parts","parts",1,"male"
"plasma","plasma",1,"male"
"antiferromagnetism","antiferromagnetism",1,"male"
"ferrimagnetism","ferrimagnetism",1,"male"
"holographic","holographic",1,"male"
"barrier","barrier",1,"male"
"generally","generally",1,"male"
"josephson","josephson",1,"male"
"known","known",1,"male"
"predictions","predictions",1,"male"
"supercurrent","supercurrent",1,"male"
"tunnel","tunnel",1,"male"
"basic","basic",1,"male"
"lowtemperature","lowtemperature",1,"male"
"evolution1","evolution",1,"male"
"hall","hall",1,"male"
"quantized","quantized",1,"male"
"optics","optics",1,"male"
"clocks","clocks",1,"male"
"maser","maser",1,"male"
"oscillatory","oscillatory",1,"male"
"separated","separated",1,"male"
"discovering","discovering",1,"male"
"generalized","generalized",1,"male"
"simple","simple",1,"male"
"detectors","detectors",1,"male"
"multiwire","multiwire",1,"male"
"proportional","proportional",1,"male"
"lepton","lepton",1,"male"
"tau","tau",1,"male"
"osmotic","osmotic",1,"male"
"purine","purine",1,"male"
"syntheses","syntheses",1,"male"
"dissociation","dissociation",1,"male"
"electrolytic","electrolytic",1,"male"
"air","air",1,"male"
"gaseous","gaseous",1,"male"
"inert","inert",1,"male"
"periodic","periodic",1,"male"
"place","place",1,"male"
"dyes","dyes",1,"male"
"hydroaromatic","hydroaromatic",1,"male"
"adoption","adoption",1,"male"
"element1","element",1,"male"
"fluorine","fluorine",1,"male"
"furnace","furnace",1,"male"
"isolation1","isolation",1,"male"
"biochemical1","biochemical",1,"male"
"cellfree","cellfree",1,"male"
"disintegration","disintegration",1,"male"
"rates","rates",1,"male"
"alicyclic","alicyclic",1,"male"
"grignard","grignard",1,"male"
"reagent","reagent",1,"male"
"disintegrated","disintegrated",1,"male"
"finely","finely",1,"male"
"hydrogenating","hydrogenating",1,"male"
"metals","metals",1,"male"
"earlier","earlier",1,"male"
"inorganic","inorganic",1,"male"
"linkage","linkage",1,"male"
"thrown","thrown",1,"male"
"accurate","accurate",1,"male"
"determinations1","determinations",1,"male"
"weight","weight",1,"male"
"pigments","pigments",1,"male"
"ammonia","ammonia",1,"male"
"thermochemistry","thermochemistry",1,"male"
"enunciation","enunciation",1,"male"
"nonradioactive","nonradioactive",1,"male"
"rule","rule",1,"male"
"spectrograph","spectrograph",1,"male"
"wholenumber","wholenumber",1,"male"
"microanalysis","microanalysis",1,"male"
"heterogenous","heterogenous",1,"male"
"since","since",1,"male"
"disperse","disperse",1,"male"
"bile","bile",1,"male"
"sterols","sterols",1,"male"
"dipole","dipole",1,"male"
"moments","moments",1,"male"
"flavins","flavins",1,"male"
"sex","sex",1,"male"
"higher","higher",1,"male"
"polymethylenes","polymethylenes",1,"male"
"terpenes","terpenes",1,"male"
"tracers","tracers",1,"male"
"fission","fission",1,"male"
"agricultural","agricultural",1,"male"
"fodder","fodder",1,"male"
"nutrition","nutrition",1,"male"
"preservation","preservation",1,"male"
"crystallized","crystallized",1,"male"
"alkaloids","alkaloids",1,"male"
"products","products",1,"male"
"adsorption","adsorption",1,"male"
"electrophoresis","electrophoresis",1,"male"
"macromolecular","macromolecular",1,"male"
"race","race",1,"male"
"bond","bond",1,"male"
"biochemically","biochemically",1,"male"
"polypeptide","polypeptide",1,"male"
"sulphur","sulphur",1,"male"
"coenzymes","coenzymes",1,"male"
"nucleotide","nucleotide",1,"male"
"polarographic","polarographic",1,"male"
"archaeology","archaeology",1,"male"
"branches","branches",1,"male"
"geology","geology",1,"male"
"geophysics","geophysics",1,"male"
"assimilation","assimilation",1,"male"
"dioxide","dioxide",1,"male"
"plants","plants",1,"male"
"bonds","bonds",1,"male"
"orbital","orbital",1,"male"
"bearing","bearing",1,"male"
"irreversible","irreversible",1,"male"
"reciprocal","reciprocal",1,"male"
